"id","name","type","email","phone","address","postal_code","status","is_active","metadata"
"ed5e3486-223a-4695-a70d-afd83af5f965","#1 DESIGN STUDIO PTE. LTD.","supplier","contact@#1designstudiopteltd.com.sg","84885022","1085, EUNOS AVENUE 7A, ##03-10, EUNOS INDUSTRIAL ESTATE","409535","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - CR06 (Grade: L1)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""CR06"", ""grade"": ""L1"", ""source"": ""BCA Registered Contractors""}"
"da891845-de56-4db9-8935-8db42a660fb2","#1 DESIGN STUDIO PTE. LTD.","supplier","contact@#1designstudiopteltd.com.sg","84885022","1085, EUNOS AVENUE 7A, ##03-10, EUNOS INDUSTRIAL ESTATE","409535","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - FM02 (Grade: L1)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""FM02"", ""grade"": ""L1"", ""source"": ""BCA Registered Contractors""}"
"517d9f55-f33b-41ce-a6e2-caddac4053e0","'A' BUILDERS AND ENGINEERING PTE. LTD.","supplier","contact@'a'buildersandengineeringpteltd.com.sg","91190252","13, KAKI BUKIT INDUSTRIAL TERRACE, #na, na","416096","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - CR06 (Grade: L1)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""CR06"", ""grade"": ""L1"", ""source"": ""BCA Registered Contractors""}"
"fbad3399-650b-424f-8fb9-029b916c62d2","@BSOLUTE AIRCON PTE. LTD.","supplier","contact@@bsoluteairconpteltd.com.sg","68448444","61, KAKI BUKIT AVENUE 1, ##03-05, SHUN LI INDUSTRIAL PARK","417943","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - ME01 (Grade: L1)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""ME01"", ""grade"": ""L1"", ""source"": ""BCA Registered Contractors""}"
"cdc688ec-309c-4f2c-ae0c-423c9e6d7555","@KLEANSG SERVICES PTE LTD","supplier","contact@@kleansgservicespteltd.com.sg","80326100","11, PENAGA PLACE, ##01-11, na","757346","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - FM04 (Grade: L1)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""FM04"", ""grade"": ""L1"", ""source"": ""BCA Registered Contractors""}"
"109b50f1-ca29-4eb4-8f55-01b94e48bad5","1 CHUAN PTE. LTD.","supplier","contact@1chuanpteltd.com.sg","67586512","1, YISHUN STREET 23, ##06-06, YS-ONE","768441","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - CR01 (Grade: Single Grade)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""CR01"", ""grade"": ""Single Grade"", ""source"": ""BCA Registered Contractors""}"
"c6c3198e-7565-4184-9872-88f96bf4cd8d","1 CHUAN PTE. LTD.","supplier","contact@1chuanpteltd.com.sg","67586512","1, YISHUN STREET 23, ##06-06, YS-ONE","768441","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - CR18 (Grade: Single Grade)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""CR18"", ""grade"": ""Single Grade"", ""source"": ""BCA Registered Contractors""}"
"3cb5b050-ae6a-4030-9d6d-619b9e86275c","1 PLUS PRIVATE LIMITED","supplier","contact@1plusprivatelimited.com.sg","62218626","9, TAI SENG LINK, ##08-00, na","534053","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - FM02 (Grade: L3)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""FM02"", ""grade"": ""L3"", ""source"": ""BCA Registered Contractors""}"
"095c209e-7474-43f7-98c1-4c6b3dd9f1b2","1 PR PTE LTD","supplier","contact@1prpteltd.com.sg","84984118","5, 5 ANG MO KIO INDUSTRIAL PARK 2A, ##04-27, na","567760","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - CR06 (Grade: L1)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""CR06"", ""grade"": ""L1"", ""source"": ""BCA Registered Contractors""}"
"c2268b66-4945-4f7c-9f70-7d48ff970488","1-SOLUTIONING PTE LTD","supplier","contact@1-solutioningpteltd.com.sg","62350939","3, ANG MO KIO STREET 62, ##03-23/24, LINK@AMK","569139","pending","false","{""registrationNumber"": """", ""contactPerson"": """", ""website"": """", ""taxId"": """", ""businessLicense"": """", ""description"": ""BCA Registered Contractor - ME01 (Grade: L2)"", ""city"": ""Singapore"", ""state"": """", ""country"": ""Singapore"", ""workhead"": ""ME01"", ""grade"": ""L2"", ""source"": ""BCA Registered Contractors""}"
